MediaType,DataProtected
Backup To Disk StoreOnce Backup system,668370
Backup To Disk StoreOnce Backup system,1882400524
Backup To Disk StoreOnce Backup system,110707395796
Backup To Disk StoreOnce Backup system,11380559079
Backup To Disk StoreOnce Backup system,0
Backup To Disk StoreOnce Backup system,5415601378
Backup To Disk StoreOnce Backup system,34835037303
Backup To Disk StoreOnce Backup system,2471439126
Backup To Disk StoreOnce Backup system,2669634404
Backup To Disk StoreOnce Backup system,0
SCSI Library LTO-Ultrium,77920663987
Backup To Disk StoreOnce Backup system,232483628
Backup To Disk StoreOnce Backup system,9306736844
Backup To Disk StoreOnce Backup system,0
Backup To Disk StoreOnce Backup system,3837046409
Backup To Disk StoreOnce Backup system,1043797576
Backup To Disk StoreOnce Backup system,1430226436
Backup To Disk StoreOnce Backup system,2057476321
Backup To Disk StoreOnce Backup system,5729531575
Backup To Disk StoreOnce Backup system,2224655
Backup To Disk StoreOnce Backup system,76534987712
Backup To Disk StoreOnce Backup system,83489694
Backup To Disk StoreOnce Backup system,16094362428
Backup To Disk StoreOnce Backup system,18943045
Backup To Disk StoreOnce Backup system,0
Backup To Disk StoreOnce Backup system,2736460803
SCSI Library LTO-Ultrium,21033730560
File Library File,0
File Library File,906240
File Library File,3573504
File Library File,248576
Jukebox File,75776
Jukebox File,2816
SCSI Library LTO-Ultrium,2101504
SCSI Library LTO-Ultrium,5529088
File Library File,1761280
Jukebox File,0
Jukebox File,1844736
File Library File,112128
